velt_name,kind,month,month_name
aardappel,vegetable,1,januari
aardappel,vegetable,2,februari
aardappel,vegetable,3,maart
aardappel,vegetable,4,april
aardappel,vegetable,5,mei
aardappel,vegetable,6,juni
aardappel,vegetable,7,juli
aardappel,vegetable,8,augustus
aardappel,vegetable,9,september
aardappel,vegetable,10,oktober
aardappel,vegetable,11,november
aardappel,vegetable,12,december
aardbei,fruit,4,april
aardbei,fruit,5,mei
aardbei,fruit,6,juni
aardbei,fruit,7,juli
aardbei,fruit,8,augustus
aardpeer,vegetable,1,januari
aardpeer,vegetable,11,november
aardpeer,vegetable,12,december
abrikoos,fruit,6,juni
abrikoos,fruit,7,juli
abrikoos,fruit,8,augustus
andijvie,vegetable,4,april
andijvie,vegetable,5,mei
andijvie,vegetable,6,juni
andijvie,vegetable,7,juli
andijvie,vegetable,8,augustus
andijvie,vegetable,9,september
andijvie,vegetable,10,oktober
andijvie,vegetable,11,november
andijvie,vegetable,12,december
appel,fruit,1,januari
appel,fruit,2,februari
appel,fruit,3,maart
appel,fruit,8,augustus
appel,fruit,9,september
appel,fruit,10,oktober
appel,fruit,11,november
appel,fruit,12,december
artisjok,vegetable,6,juni
artisjok,vegetable,7,juli
artisjok,vegetable,8,augustus
artisjok,vegetable,9,september
artisjok,vegetable,10,oktober
asperge,vegetable,5,mei
asperge,vegetable,6,juni
aubergine,vegetable,7,juli
aubergine,vegetable,8,augustus
aubergine,vegetable,9,september
aubergine,vegetable,10,oktober
blauwe bes,fruit,6,juni
blauwe bes,fruit,7,juli
blauwe bes,fruit,8,augustus
blauwe bes,fruit,9,september
bleekselderij,vegetable,7,juli
bleekselderij,vegetable,8,augustus
bleekselderij,vegetable,9,september
bleekselderij,vegetable,10,oktober
bleekselderij,vegetable,11,november
bloemkool,vegetable,3,maart
bloemkool,vegetable,4,april
bloemkool,vegetable,5,mei
bloemkool,vegetable,6,juni
bloemkool,vegetable,7,juli
bloemkool,vegetable,8,augustus
bloemkool,vegetable,9,september
bloemkool,vegetable,10,oktober
bloemkool,vegetable,11,november
boerenkool,vegetable,1,januari
boerenkool,vegetable,2,februari
boerenkool,vegetable,3,maart
boerenkool,vegetable,10,oktober
boerenkool,vegetable,11,november
boerenkool,vegetable,12,december
braam,fruit,7,juli
braam,fruit,8,augustus
braam,fruit,9,september
braam,fruit,10,oktober
broccoli,vegetable,6,juni
broccoli,vegetable,7,juli
broccoli,vegetable,8,augustus
broccoli,vegetable,9,september
broccoli,vegetable,10,oktober
broccoli,vegetable,11,november
chinese kool,vegetable,7,juli
chinese kool,vegetable,8,augustus
chinese kool,vegetable,9,september
chinese kool,vegetable,10,oktober
chinese kool,vegetable,11,november
courgette,vegetable,7,juli
courgette,vegetable,8,augustus
courgette,vegetable,9,september
courgette,vegetable,10,oktober
courgette,vegetable,11,november
doperwt,vegetable,5,mei
doperwt,vegetable,6,juni
doperwt,vegetable,7,juli
druif,fruit,8,augustus
druif,fruit,9,september
druif,fruit,10,oktober
druif,fruit,11,november
framboos,fruit,6,juni
framboos,fruit,7,juli
framboos,fruit,8,augustus
framboos,fruit,9,september
framboos,fruit,10,oktober
groene selderij,vegetable,1,januari
groene selderij,vegetable,2,februari
groene selderij,vegetable,3,maart
groene selderij,vegetable,4,april
groene selderij,vegetable,5,mei
groene selderij,vegetable,6,juni
groene selderij,vegetable,7,juli
groene selderij,vegetable,8,augustus
groene selderij,vegetable,9,september
groene selderij,vegetable,10,oktober
groene selderij,vegetable,11,november
groene selderij,vegetable,12,december
kers,fruit,6,juni
kers,fruit,7,juli
kers,fruit,8,augustus
kiwibes,fruit,9,september
kiwibes,fruit,10,oktober
knolselderij,vegetable,1,januari
knolselderij,vegetable,2,februari
knolselderij,vegetable,3,maart
knolselderij,vegetable,8,augustus
knolselderij,vegetable,9,september
knolselderij,vegetable,10,oktober
knolselderij,vegetable,11,november
knolselderij,vegetable,12,december
komkommer,vegetable,7,juli
komkommer,vegetable,8,augustus
komkommer,vegetable,9,september
komkommer,vegetable,10,oktober
koolraap,vegetable,1,januari
koolraap,vegetable,11,november
koolraap,vegetable,12,december
koolrabi,vegetable,5,mei
koolrabi,vegetable,6,juni
koolrabi,vegetable,7,juli
koolrabi,vegetable,8,augustus
koolrabi,vegetable,9,september
koolrabi,vegetable,10,oktober
kropsla,vegetable,5,mei
kropsla,vegetable,6,juni
